,Year,Month,Last Name (1st Author),Paper Title,Process,CW Performance,Frequency (GHz),Psat (dBm),PAEmax (%),PA Efficiency Note,P1dB (dBm),PAE_1dB (%),Gain (dB),RF PA Modulations,EVM (dB),Modulation Speed (Msym/s),Average Pout (dBm),Average PAE (%),RF PA Note (Modulation Type),RF PA Note (Analog PA or Digital PA),Process node
636,2023,2,Xie,A Ka-Band Watt-Level High-Efficiency Doherty Amplifier MMIC in 90-nm GaAs Technology,GaAs,26.5-30.5,28.0,30.0,37.9,PAE,26,35,18,,-28.5,1000,21.2,,64 QAM 7.8dB PAPR ,Analog,0.09-μm GaAs pHEMT
637,2023,4,Xia,A 26/38-GHz Dual-Band Filtering Balanced Power Amplifier MMIC for 5G Mobile Communications,GaAs,26-38,26.0,27.7,31.5,PAE,27.1,,22.4,,-31.84,400,19.7,,400 MHz 64-QAM 5G-NR,Analog,0.1-μm GaAs
638,2023,4,Xia,A 26/38-GHz Dual-Band Filtering Balanced Power Amplifier MMIC for 5G Mobile Communications,GaAs,26-38,38.0,26.9,22.8,PAE,25.6,,15.8,,-32.28,400,19.49,,400 MHz 64-QAM 5G-NR,Analog,0.1-μm GaAs
639,2022,9,Mahon,Microstrip GaAs Power Amplifiers for High Capacity 92–114 GHz 5G and 6G Backhaul,GaAs,82-118GHz,80.0,11.0,,PAE,,,12.5,,,,,,,,100nm GaAs pHEMT
640,2022,9,Mahon,Microstrip GaAs Power Amplifiers for High Capacity 92–114 GHz 5G and 6G Backhaul,GaAs,82-118GHz,90.0,23.0,,PAE,,,23,,,,,,,,100nm GaAs pHEMT
641,2022,9,Mahon,Microstrip GaAs Power Amplifiers for High Capacity 92–114 GHz 5G and 6G Backhaul,GaAs,82-118GHz,100.0,21.0,,PAE,,,21,,,,,,,,100nm GaAs pHEMT
642,2022,9,Mahon,Microstrip GaAs Power Amplifiers for High Capacity 92–114 GHz 5G and 6G Backhaul,GaAs,82-118GHz,108.0,20.5,5,PAE,,,18,,,,,,,,100nm GaAs pHEMT
643,2022,9,Mahon,Microstrip GaAs Power Amplifiers for High Capacity 92–114 GHz 5G and 6G Backhaul,GaAs,85-116GHz,80.0,14.5,0.8,PAE,,,9.5,,,,,,,,100nm GaAs pHEMT
644,2022,9,Mahon,Microstrip GaAs Power Amplifiers for High Capacity 92–114 GHz 5G and 6G Backhaul,GaAs,85-116GHz,90.0,25.0,8,PAE,,,22.5,,,,,,,,100nm GaAs pHEMT
645,2022,9,Mahon,Microstrip GaAs Power Amplifiers for High Capacity 92–114 GHz 5G and 6G Backhaul,GaAs,85-116GHz,100.0,22.9,4.1,PAE,,,22,,,,,,,,100nm GaAs pHEMT
646,2022,9,Mahon,Microstrip GaAs Power Amplifiers for High Capacity 92–114 GHz 5G and 6G Backhaul,GaAs,85-116GHz,108.0,22.5,4,PAE,,,19.8,,,,,,,,100nm GaAs pHEMT
647,2022,8,Yang,A Broadband E-band Driver Amplifier in 0.1 μm GaAs pHEMT Technology,GaAs,61-94GHz,60.0,15.5,,PAE,,,17.5,,,,,,,,100nm GaAs pHEMT
648,2022,8,Yang,A Broadband E-band Driver Amplifier in 0.1 μm GaAs pHEMT Technology,GaAs,61-94GHz,65.0,17.5,,PAE,,,18,,,,,,,,100nm GaAs pHEMT
649,2022,8,Yang,A Broadband E-band Driver Amplifier in 0.1 μm GaAs pHEMT Technology,GaAs,61-94GHz,75.0,18.7,11.1,PAE,15.2,,17,,,,,,,,100nm GaAs pHEMT
650,2022,8,Yang,A Broadband E-band Driver Amplifier in 0.1 μm GaAs pHEMT Technology,GaAs,61-94GHz,80.0,18.0,,PAE,,,16,,,,,,,,100nm GaAs pHEMT
651,2022,8,Yang,A Broadband E-band Driver Amplifier in 0.1 μm GaAs pHEMT Technology,GaAs,61-94GHz,90.0,15.0,,PAE,,,16,,,,,,,,100nm GaAs pHEMT
652,2022,8,Zheng,A 64-QAM 94-GHz GaAs Transceiver with 18 dBm Output Power for High Data-Rate Communication,GaAs,90-96GHz,90.0,18.0,,PAE,,,,,,,,,,,100nm GaAs pHEMT
653,2022,8,Zheng,A 64-QAM 94-GHz GaAs Transceiver with 18 dBm Output Power for High Data-Rate Communication,GaAs,90-96GHz,91.5,17.9,,PAE,,,,,,,,,,,100nm GaAs pHEMT
654,2022,8,Zheng,A 64-QAM 94-GHz GaAs Transceiver with 18 dBm Output Power for High Data-Rate Communication,GaAs,90-96GHz,93.0,17.7,,PAE,,,,,,,,,,,100nm GaAs pHEMT
655,2022,8,Zheng,A 64-QAM 94-GHz GaAs Transceiver with 18 dBm Output Power for High Data-Rate Communication,GaAs,90-96GHz,94.5,17.6,,PAE,,,,,,,,,,,100nm GaAs pHEMT
656,2022,8,Zheng,A 64-QAM 94-GHz GaAs Transceiver with 18 dBm Output Power for High Data-Rate Communication,GaAs,90-96GHz,95.0,,,PAE,,,,64QAM,-26.3,400,,,,,100nm GaAs pHEMT
657,2022,8,Zheng,A 64-QAM 94-GHz GaAs Transceiver with 18 dBm Output Power for High Data-Rate Communication,GaAs,90-96GHz,96.0,17.5,,PAE,,,,,,,,,,,100nm GaAs pHEMT
658,2023,1,Soma,"A 160-GHz, 10-dBm power amplifier for D-band communication in 0.1-μm GaAs pHEMT",GaAs,105-160GHz,110.0,9.0,,PAE,,,11,,,,,,,,100nm GaAs pHEMT
659,2023,1,Soma,"A 160-GHz, 10-dBm power amplifier for D-band communication in 0.1-μm GaAs pHEMT",GaAs,105-160GHz,135.0,7.5,,PAE,,,10,,,,,,,,100nm GaAs pHEMT
660,2023,1,Soma,"A 160-GHz, 10-dBm power amplifier for D-band communication in 0.1-μm GaAs pHEMT",GaAs,105-160GHz,155.0,10.1,,PAE,,,16,,,,,,,,100nm GaAs pHEMT
661,2023,1,Soma,"A 160-GHz, 10-dBm power amplifier for D-band communication in 0.1-μm GaAs pHEMT",GaAs,105-160GHz,160.0,10.0,,PAE,,,8.5,,,,,,,,100nm GaAs pHEMT
662,2023,2,Mihaljevic,An 82 - 98 GHz medium power amplifier in a 0.1-µm GaAs pHEMT process,GaAs,82-96GHz,84.0,20.2,10,PAE,,,16,,,,,,,,100nm GaAs pHEMT
663,2023,2,Mihaljevic,An 82 - 98 GHz medium power amplifier in a 0.1-µm GaAs pHEMT process,GaAs,82-96GHz,90.0,21.1,11,PAE,,,16.4,,,,,,,,100nm GaAs pHEMT
664,2023,2,Mihaljevic,An 82 - 98 GHz medium power amplifier in a 0.1-µm GaAs pHEMT process,GaAs,82-96GHz,96.0,22.0,13.3,PAE,,,16,,,,,,,,100nm GaAs pHEMT
665,2023,2,Chau,A 40-60 GHz driver amplifier implemented in 0.1 µm Gallium Arsenide process,GaAs,40-60GHz,55.0,20.0,22.4,PAE,,,15.5,,,,,,,,100nm GaAs pHEMT
