,Year,Month,Last Name (1st Author),Paper Title,Process,CW Performance,Frequency (GHz),Psat (dBm),PAEmax (%),PA Efficiency Note,P1dB (dBm),PAE_1dB (%),Gain (dB),RF PA Modulations,EVM (dB),Modulation Speed (Msym/s),Average Pout (dBm),Average PAE (%),RF PA Note (Modulation Type),RF PA Note (Analog PA or Digital PA),Process node
71,2014,11,Kang,A Multi-Mode Multi-Band Reconfigurable Power Amplifier for 2G/3G/4G Handset Applications,GaAs,1.8-1.9,1.8,,,,,,,,,,33.4 - 33.80,50.2 - 52.1,2G/2.5G (1.8 / 1.9 GHz band),,2- u InGaP/GaAs HBT
72,2014,11,Kang,A Multi-Mode Multi-Band Reconfigurable Power Amplifier for 2G/3G/4G Handset Applications,GaAs,1.8-1.9,1.8,,,,,,,,,,40.1 - 41.1 / 34.3 - 35.4,41.9 - 44.2 / 35.2 - 38.2,3G (B1/2/3/4/8) / 4G (B1/2/3/5/8),,2- u InGaP/GaAs HBT
73,2015,1,Kang,A Multi-Mode Multi-Band Reconfigurable Power Amplifier for 2G/3G/4G Handset Applications,GaAs,1.8-1.9,1.8,,,,,,30,,-27.95,,32.5,50,GMSK/EDGE,,2- u InGaP/GaAs HBT
74,2010,8,Kang,A Multimode/Multiband Power Amplifier With a Boosted Supply Modulator,GaAs,,1.85,32.0,50,PAE,,,30,,,,30.1,46,"WCDMA ( 3.84 MHz, 3.5 dB PAPR)",,InGaP/GaAs  HBT
75,2010,8,Kang,A Multimode/Multiband Power Amplifier With a Boosted Supply Modulator,GaAs,,1.85,32.0,50,PAE,,,30,,-32,,27.8,37,"LTE (10 MHz, 7.5 dB PAPR, 16-QAM)",,InGaP/GaAs  HBT
76,2011,5,Kim,Optimization for Envelope Shaped Operation of Envelope Tracking Power Amplifier ,GaAs,,1.85,33.0,68 (DE),DE,,,,,,,31.5,48.8,WCDMA (QPSK),,InGaP/GaAs 2-μm HBT
77,2011,5,Kim,Optimization for Envelope Shaped Operation of Envelope Tracking Power Amplifier ,GaAs,,1.85,33.0,68 (DE),DE,,,,,-31.4,,28.9,42.2,"LTE (10 MHz, 7.44 dB PAPR, 16 QAM)",,InGaP/GaAs 2-μm HBT
78,2011,6,Kang,1.6–2.1 GHz broadband Doherty power amplifiers for LTE handset applications,GaAs,,1.85,,,,,,,,-28,,27.5,36.6,"LTE (10 MHz, 7.5 dB PAPR, 16-QAM)",,2-μm InGaP/GaAs HBT
79,2011,11,Kang,Design of Bandwidth-Enhanced Doherty Power Amplifiers for Handset Applications ,GaAs,,1.85,,,,,,,,,,27.5,36.3,"LTE (10 MHz, 7.5 dB PAPR)",Doherty ,nGaP/GaAs (HBT) 
80,2014,6,Shimura,A multiband power amplifier using combination of CMOS and GaAs technologies for WCDMA handsets,GaAs,,1.85,,,,,,31.2,,,,28,34.5,WCDMA,,CMOS and GaAs
81,2014,1,Cho,Linear Doherty Power Amplifier With an Enhanced Back-Off Efficiency Mode for Handset Applications,GaAs,,1.85,29.0,51,PAE,28,51,27.7,,-28.4,,26,42,"LTE (10 MHz, 16-QAM, 7.5 dB PAPR)",,HBT/pHEMT
82,2015,3,Moon,Investigation of Intermodulation Distortion of Envelope Tracking Power Amplifier for Linearity Improvement,GaAs,,1.85,31.5,62.5,PAE,,,23.4,,-34.9,,27,44.3,"LTE ( 10 MHz, 16-QAM)",ET,InGaP/GaAs HBT + 0.18- μm CMOS
83,2015,11,Kim,Analysis of Far-Out Spurious Noise and its Reduction in Envelope-Tracking Power Amplifier,GaAs,,1.85,,,,,,,,,,27,41.8,"LTE (10 MHz, 16-QAM, 6.5 dB PAPR)",,InGaP/GaAs HBT
84,2015,6,Moon,An HBT Saturated Power Amplifier With Minimized Knee Effect for Envelope Tracking Operation,GaAs,,1.85,,,,,,24.2,,-30.46,,27,46.5,"LTE (10 MHz, 16-QAM, 7.5 dB PAPR)",,InGaP/GaAs HBT
85,2016,2,Yamamoto,A WCDMA Multiband Power Amplifier Module With Si-CMOS/GaAs-HBT Hybrid Power-Stage Configuration,GaAs,,1.85,,,,,,,,,,28,34.9, WCDMA MB-PAM,,Si-CMOS/GaAs-HBT hybrid
86,2018,,Chauhan,Design and Performance of Power Amplifier Integration with BAW Filter on a Silicon-Ceramic Composite and Standard Epoxy/Glass Substrate,GaAs,1.85-1.91,1.85,23.0,,,,,13,,,,23,,LTE 20MHz,,SiCer compound substrate
87,2010,9,Liao,High Efficiency WCDMA Power Amplifier With Pulsed Load Modulation (PLM) ,GaAs,,1.87,30.0,55,PAE,,,13.7,,,,27.1,52.6,WCDMA (10.8 dB PAPR),EDSM+PLM,0.35μm GaAs pHEMT
88,2004,8,Jeon,A highly efficient CDMA power amplifier based on parallel amplification architecture,GaAs,,1.88,,,,,,25.5,,,1.288,28,37,IS-95A,,InGaP/GaAs
89,2004,8,Jeon,A highly efficient CDMA power amplifier based on parallel amplification architecture,GaAs,,1.88,,,,,,20.5,,,1.288,16,17,IS-95A,,InGaP/GaAs
90,2005,10,Yang,Power amplifier with low average current and compact output matching network,GaAs,,1.88,,,,,,,,,,28,38.13,CDMA,,InGaP/GaAs
91,2007,6,Zhang,A Novel High Efficiency and Linearity Power Amplifier with Over-Voltage Protection,GaAs,,1.88,33.0,,,32,,17.7,,,,,,,,InGaP/GaAs
92,2008,1,Kang,A Highly Efficient and Linear Class-AB/F Power Amplifier for Multimode Operation,GaAs,,1.88,32.5,61.3,PAE,31.5,59.5,,,,1.2288,28,38.9,CDMA IS-95,,2um InGaP/GaAs HBT
93,2008,1,Kang,A Highly Efficient and Linear Class-AB/F Power Amplifier for Multimode Operation,GaAs,,1.88,32.3,63.8,PAE,,,,,,,32.5,64.7,PCS1900,,2um InGaP/GaAs HBT
94,2008,6,Apel,Efficient three-state WCDMA PA integrated with high-performance BiHEMT HBT / E-D pHEMT process,GaAs,,1.88,,,,,,26,,,,28,32,HSDPA W-CDMA,,InGaAs/GaAs
95,2009,6,Choi,Optimized Envelope Tracking Operation of Doherty Power Amplifier for High Efficiency Over an Extended Dynamic Range,GaAs,,1.88,34.0,51,PAE,,,25,,-28.77,,24.22,38.6,10.75dB crest 5MHz WiBro,,InGaP/GaAs 2um HBT PA
96,2009,6,Kang,Input power dividing of Doherty power amplifiers for handset applications,GaAs,,1.88,33.0,51,PAE,32,48,23,,-30.46,,26,40.2,9.54dB crest 8.75MHz WiBro,,2um InGaP/GaAs
97,2009,12,Yoo,Helix on Pad-Type Ultra Small-Size Power Amplifiers for WCDMA Handset Applications,GaAs,,1.88,,,,,,,,,3.84,28,39.3,3GPP W-CDMA,,InGaP/GaAs
98,2009,7,Choi,A Polar Transmitter With CMOS Programmable Hysteretic-Controlled Hybrid Switching Supply Modulator for Multistandard Application,GaAs,,1.88,,,,,,,,,,27.8,45.3,EDGE,,"2um HBT PA, 0.13um CMOS supply"
99,2009,7,Choi,A Polar Transmitter With CMOS Programmable Hysteretic-Controlled Hybrid Switching Supply Modulator for Multistandard Application,GaAs,,1.88,,,,,,,,,,29,46,W-CDMA,,"2um HBT PA, 0.13um CMOS supply"
100,2009,7,Choi,A Polar Transmitter With CMOS Programmable Hysteretic-Controlled Hybrid Switching Supply Modulator for Multistandard Application,GaAs,,1.88,,,,,,,,-30.51,,23.9,34.3,WiMax,,"2um HBT PA, 0.13um CMOS supply"
101,2010,7,Kang,Design of Doherty Power Amplifiers for Handset Applications ,GaAs,,1.88,33.0,51,PAE,31.5,48,24,,-30.4,,26,40.2,m-WiMAX,,3 um InGaP/GaAs  HBT
102,2002,9,Sub Noh,PCS/W-CDMA dual-band MMIC power amplifier with a newly proposed linearizing bias circuit,GaAs,,1.9,,,,,,27.4,,,1.2288,28,37,QPSK,,InGaP/GaAs
103,2002,9,Sub Noh,PCS/W-CDMA dual-band MMIC power amplifier with a newly proposed linearizing bias circuit,GaAs,,1.9,,,,,,25,,,3.84,28,34.65,HPSK,,InGaP/GaAs
104,2002,6,Yamamoto,"A GSM/EDGE dual-mode, 900/1800/1900-MHz triple-band HBT MMIC power amplifier module",GaAs,,1.9,,,,,,,,-27.95,,33.4,45,GSM1800/1900,,
105,2002,6,Escalera,Performance of GaAs on silicon power amplifier for wireless handset applications,GaAs,,1.9,,,,19.8,,,,,,,,,,0.7um GaAs/STO/Si
106,2004,3,Fukuda,Novel 900 MHz/1.9 GHz dual-mode power amplifier employing MEMS switches for optimum matching,GaAs,,1.9,31.0,62,PAE,30,40,17.4,,,,,,,,
107,2005,6,Zhang,A novel tunable broadband power amplifier module operating from 0.8 GHz to 2.0 GHz,GaAs,,1.9,,,,30.5,34,30.6,,,,,,,,InGaP/GaAs
108,2006,8,Jau,Envelope Following-Based RF Transmitters Using Switching-Mode Power Amplifiers,GaAs,,1.9,,,,,,,,-30.45,1.2288,21,40,CDMA2000,,0.15um InGaAs
109,2007,6,Kim,Parasitic Capacitance Optimization of GaAs HBT Class E Power Amplifier for High Efficiency CDMA EER Transmitter,GaAs,,1.9,29.0,,,,,15,,,,,,,,
110,2007,6,Zhang,A high performance Balanced Power Amplifier and Its Integration into a Front-end Module at PCS Band,GaAs,,1.9,28.0,41,PAE,,,27,,,,,,,,
111,2016,5,Kim,Design of linear Doherty power amplifier for handset application,GaAs,,1.9,32.0,57,PAE,,,25.1,,-31.37,,27.5,45.8,"LTE (10 MHz, 16-QAM, 7.5 dB PAPR)",Doherty,InGaP/GaAs HBT
112,2016,5,Cho,Linear Doherty power amplifier with adaptive bias circuit for average power-tracking,GaAs,,1.9,,,,,,24.4,,-31.53,,27.5,45.7,"LTE (10 MHz, 16-QAM, 7.5 dB PAPR)",Doherty with APT,InGaP/GaAs HBT
113,2000,12,Iwai,42% high efficiency two-stage HBT power amplifier MMIC for W-CDMA cellular phone system,GaAs,,1.95,27.0,42,PAE,,,30.5,,,3.84,27,42,HPSK,,InGaP/GaAs
114,2000,6,Hau,A linearized power amplifier MMIC for 3.5 V battery operated wide-band CDMA handsets,GaAs,,1.95,,44.5,PAE,31.2,,,,,3.84,28.8,44.5,HPSK,,AlGaAs/InGaAs
115,2000,12,Mori,An L-band high efficiency and low distortion power amplifier module using an HPF/LPF combined interstage matching circuit,GaAs,,1.95,,,,,,27.7,,,3.84,27.1,43.9,HPSK,,
116,2001,5,Nishimura,A 50% efficiency InGaP/GaAs HBT power amplifier module for 1.95 GHz wide-band CDMA handsets,GaAs,,1.95,,,,,,28.5,,,,26.3,50.5,W-CDMA,,InGaP/GaAs
117,2001,5,Vintola,Variable gain power amplifier for mobile WCDMA applications,GaAs,,1.95,,,,,,,,,,24,28,W-CDMA,,AlGaAs/GaAs
118,2001,6,Hau,A highly efficient linearized wide-band CDMA handset power amplifier based on predistortion under various bias conditions,GaAs,,1.95,,,,28.3,,,,,4.096,26.2,49.9,W-CDMA HPSK,,
119,2001,12,Vintola,Variable-gain power amplifier for mobile WCDMA applications,GaAs,,1.95,,,,,,35,,,,24,27,W-CDMA,,AlGaAs/GaAs
120,2002,6,Jager,Broadband high-efficiency monolithic InGaP/GaAs HBT power amplifiers for 3G handset applications,GaAs,,1.95,,,,,,22.6,,,,27,38.3,W-CDMA,,InGaP/GaAs
121,2003,6,Hyung Kim,An InGaP-GaAs HBT MMIC smart power amplifier for W-CDMA mobile handsets,GaAs,,1.95,28.0,40,PAE,,,25,,,3.84,25,,W-CDMA HPSK,,InGaP/GaAs
122,2003,6,Hyung Kim,An InGaP-GaAs HBT MMIC smart power amplifier for W-CDMA mobile handsets,GaAs,,1.95,16.0,21,PAE,,,15,,,3.84,16,,W-CDMA HPSK,,InGaP/GaAs
123,2003,6,Kim,MMIC power amplifier adaptively linearized with RF coupled active bias circuit for W-CDMA mobile terminals applications,GaAs,,1.95,,,,,,27.5,,,3.84,30.3,42,W-CDMA,,InGaP/GaAs
124,2004,6,Hoon Kim,A power efficient W-CDMA smart power amplifier with emitter area adjusted for output power levels,GaAs,,1.95,,,,22,15.2,15.6,,,3.84,16,,HPSK,,InGaP/GaAs
125,2004,6,Hoon Kim,A power efficient W-CDMA smart power amplifier with emitter area adjusted for output power levels,GaAs,,1.95,,,,27,33.4,25,,,3.84,27,,HPSK,,InGaP/GaAs
126,2004,6,Aoki,A 20-mA quiescent current two-stage W-CDMA power amplifier using anti-phase intermodulation distortion,GaAs,,1.95,,,,,,25.2,,,3.84,27.1,44,W-CDMA,,InGaP/GaAs
127,2005,6,Jarvinen,GaAs HBT class-E amplifiers for 2-GHz mobile applications,GaAs,,1.95,27.0,62.5,PAE,,,21.6,,,,,,,,
128,2005,6,Tanoue,Switch-less-impedance-matching type W-CDMA power amplifier with improved efficiency and linearity under low power operation,GaAs,,1.95,,,,,,,,,,25.6,38,W-CDMA,,
129,2005,6,Hau,A 20 mA quiescent current 40% PAE WCDMA HBT power amplifier module with reduced current consumption under backoff power operation,GaAs,,1.95,,,,,,22,,,3.84,18,19,HPSK,,InGaP/GaAs HBT
130,2005,6,Hau,A 20 mA quiescent current 40% PAE WCDMA HBT power amplifier module with reduced current consumption under backoff power operation,GaAs,,1.95,,,,,,26,,,3.84,28,40.5,HPSK,,InGaP/GaAs HBT
131,2005,3,Srirattana,Analysis and design of a high-efficiency multistage Doherty power amplifier for wireless communications,GaAs,,1.95,,,,,,12.2,,,3.84,33,50,W-CDMA,,
132,2006,6,Jau,Highly Efficient Multimode RF Transmitter Using the Hybrid Quadrature Polar Modulation Scheme,GaAs,,1.95,24.21,64,PAE,,,,,,1.2288,21,42,QPSK CDMA2000,,0.15um InGaAs pHEMT
133,2006,6,Lee,DC/DC converter controlled power amplifier module for WCDMA applications,GaAs,,1.95,,,,,,27.5,,,,27.5,38.5,W-CDMA,,
134,2007,6,Hau,A WCDMA HBT Power Amplifier Module with Integrated Si DC Power Management IC for Current Reduction under Backoff Operation,GaAs,,1.95,,,,,,25,,,3.84,27.5,,HPSK W-CDMA,,"GaAs HBT PA, Si BiCMOS DC power"
135,2008,6,Hau,A 3x3mm2 embedded-wafer-level packaged WCDMA GaAs HBT power amplifier module with integrated Si DC power management IC,GaAs,,1.95,,,,,,,,,3.84,27.5,,3GPP W-CDMA HPSK,,
136,2009,3,Chen,Design and Linearization of Class-E Power Amplifier for Nonconstant Envelope Modulation,GaAs,,1.95,28.7,72.3,PAE,,,9.2,,-31.05*,1.2288,22.7,53.9,CDMA2000,,
137,2009,6,Chen,High efficiency dual-mode RF transmitter using envelope-tracking dual-band Class-E power amplifier for W-CDMA/WiMAX systems,GaAs,,1.95,,,,,,,,,,25,45,W-CDMA,,
138,2009,12,Yoo,Helix on Pad-Type Ultra Small-Size Power Amplifiers for WCDMA Handset Applications,GaAs,,1.95,,,,,,,,,3.84,28.5,40.2,3GPP W-CDMA,,InGaP/GaAs
139,2010,6,Hau,Multi-mode WCDMA power amplifier module with improved low-power efficiency using stage-bypass ,GaAs,,1.95,,,,,,27.5,,,,28.5,42,WCDMA,,GaAs BiFET
140,2012,11,Chen,High-Gain and High-Efficiency EER/Polar Transmitters Using Injection-Locked Oscillators,GaAs,,1.95,28.0,57,PAE,,,20.8 / 26.6,,-27.9 / -35.9,,25.8 / 26.6,44 / 48.7,WCDMA / EDGE,EER with injection locking transmitter,0.15-μm GaAs pHEMT
141,2012,6,Lee,A single chip multiband power amplifier using active load modulation techniques ,GaAs,,1.95,,,,,,12,,,,27,35,"LTE (10 MHz, 16-QAM)",,InGaP/GaAs HBT
142,2013,1,Kheirkhahi,RF Power Amplifier Efficiency Enhancement by Envelope Injection and Termination for Mobile Terminal Applications,GaAs,,1.95,28.0,,,,,,,,,26.5 (Max),42,WCDMA,,heterojunction GaAs field-effect transistor
143,2015,4,Ji,A Novel Load Mismatch Detection and Correction Technique for 3G/4G Load Insensitive Power Amplifier Application,GaAs,,1.95,,,,,,25.3,,,,28.25,42.9,WCDMA,,2-μm InGaP/GaAs HBT
144,2018,11,Sugiura,High Efficiency Compact Doherty Power Amplifier with Novel Harmonics Termination for Handset Applications,GaAs,,1.95,31.5,58.8,PAE,,,27.2,,,,25.5,50.1,10 MHz QPSK,,
145,2010,5,Kim,A multi-band reconfigurable power amplifier for UMTS handset applications,GaAs,,1.95,27.5,,,,,25.5,,,,28.5 / 27.5,39 / 37,Band 2 + Band 4/10 WCDMA (Rel'99),,2 um InGaP/GaAs  HBT
146,2002,6,Jeon,A New “Active” Predistortor With High Gain Using CascodeFET Structures,GaAs,,2.0,29.5,,,,,33,,,,,,,,GaAs_pHEMT
147,2004,6,Akkul,50 watt MMIC power amplifier design for 2 GHz applications,GaAs,,2.0,,38,PAE,46.98,,21,,,,,,,,
148,2005,6,Fukuda,A 900/1500/2000-MHz triple-band reconfigurable power amplifier employing RF-MEMS switches,GaAs,,2.0,30.0,62,PAE,28,56,14,,,,,,,,
149,2005,6,Jarvinen,GaAs HBT Class-E Amplifiers for 2-GHz Mobile Applications,GaAs,,2.0,26.0,60,PAE,,,,,,,,,,,GaAs HBT
150,2005,5,Wren,Experimental class-F power amplifier design using computationally efficient and accurate large-signal pHEMT model,GaAs,,2.0,19.85,70.5(DE),DE,18,62(DE),15,,,,,,,,
151,2005,5,Wren,Experimental Class-F Power Amplifier Design Using Computationally Efficient and Accurate Large-Signal pHEMT Model,GaAs,,2.0,19.85,70.5(DE),DE,,,10,,,,,,,,LP6836P70_pHEMT
152,2006,6,Fukuda,A 0.9-5- GHz Wide-Range 1W-Class Reconfigurable Power Amplifier Employing RF-MEMS Switches,GaAs,,2.0,31.0,58,PAE,30,57,8.6,,,,,,,,
153,2006,6,Fukuda,A 0.9-5-GHz Wide-Range 1W-Class Reconfigurable Power Amplifier Employing RF-MEMS Switches,GaAs,,2.0,31.0,58,PAE,,,8.6,,,,,,,,GaAs FET
154,2006,5,Tsai,A new feedback method for power amplifier with unilateralization and improved output return loss,GaAs,,2.0,29.3,40,PAE,29,37,18.8,,,,,,,,
155,2007,2,Bahl,0.7–2.7-GHz 12-W Power-Amplifier MMIC Developed Using MLP Technology,GaAs,,2.0,42.2,26,PAE,41.9,26,21.5,,,,,,,,GaAs_MESFET
156,2008,6,Fukuda,A novel reconfigurable quad-band power amplifier with reconfigurable biasing network and LTCC substrates,GaAs,,2.0,31.0,52,PAE,28,44,8,,,,,,,,
157,2008,6,Ezzeddine,10W ultra-broadband power amplifier,GaAs,,2.0,,,,40,13,21,,,,,,,,
158,2010,8,Lin,A High Efficiency Broadband Class-E Power Amplifier Using a Reactance Compensation Technique ,GaAs,,2.0,27.9,65,PAE,27,,21,,,,,,,,0.5 um GaAs PHMET
159,2011,6,Kang,1.6-2.1 GHz Broadband Doherty Power Amplifiers for LTE Handset Applications,GaAs,,2.0,,,,,,27,,-30.45*,,27.5,35,16QAM (LTE),,InGaP/GaAs HBT
160,2012,6,Lee,A Single Chip Multiband Power Amplifier using Active Load Modulation Techniques,GaAs,,2.0,,,,,,,,,,28,41,16 QAM LTE,,InGaP/GaAs HBT
161,2019,8,Alizadeh,Integrated Output Matching Networks for Class–J/J-1 Power Amplifiers,GaAs,,2.0,28.2,61,PAE,,,14.8,,,,,,,,250nm pHEMT
162,2019,8,Alizadeh,Integrated Output Matching Networks for Class–J/J-1 Power Amplifiers,GaAs,,2.0,28.6,65,PAE,,,15,,,,,,,,250nm pHEMT
163,2019,12,Lee,Broadband InGaP/GaAs HBT Power Amplifier Integrated Circuit Using Cascode Structure and Optimized Shunt Inductor,InP/GaAs HBT,,2.0,31.0,52.5,PAE,,,29,,,,27.5,37,16QAM LTE(10MHz),,
164,2021,10,Hu,Design of 35-dB 0.03-to-2.7 GHz Two-Stage Broadband Power Amplifier With 37.2 dBm Psat Using Modular Technology,GaAs,0.03-2.7,2.0,37.0,34,PAE,,,36,,,,,,,Analog,0.25 μm GaAs PHEMT
165,2016,1,Jagadheswaran,"A 2-μmInGaP/GaAs Class-J Power Amplifier for Multi-Band LTE Achieving 35.8-dB Gain, 40.5% to 55.8% PAE and 28-dBm Linear Output Power",GaAs,,2.05,32.0,,,31,,35.8,,-27.96,,28,55.8,"LTE (20 MHz, 16-QAM, 7.88 dB PAPR)",,2- um InGaP/GaAs HBT
166,2016,1,Jagadheswaran,"A 2-um InGaP/GaAs Class-J Power Amplifier for Multi-Band LTE Achieving 35.8-dB Gain, 40.5% t0 55.8% PAE and 28-DBm Linear Output Power",GaAs,,2.05,,,,,,,,-29.42,,28,56,16QAM,,InGap/GaAs HBT
167,2010,5,Landon,Generation 2 High Voltage Heterojunction Bipolar Transistor Technology for High Efficiency Base Station Power Amplifiers,GaAs,,2.1,57.0,70(CE),CE,,,,,,,50.8,54,,,HVHBT
168,2011,12,Kang,Design of Bandwidth-Enhanced Doehrty Power Amplifiers for Handset Applications,GaAs,,2.1,,,,,,27,,-26,,28,31,16QAM,,InGaP/GaAs HBT
169,2002,6,Staudinger,A 15 Watt PEP GaAs PHEMT MMIC Power Amplifier For 3G Wireless Transmitter Applications,GaAs,,2.14,,,,41.76,,34.8,,,,33,17,W-CDMA,,GaAs PHEMT
170,2002,6,Staudinger,A 15 Watt PEP GaAs PHEMT MMIC Power Amplifier For 3G Wireless Transmitter Applications,GaAs,,2.14,,,,41.76,,34.8,,,,36,25,IS-95,,GaAs PHEMT
171,2004,6,Akkul,50 Watt MMIC Power Amplifier Design for 2 GHz Applications,GaAs,,2.14,47.0,38,PAE,,,21,,,,,,,,GaAs pHEMT(500nm)
172,2006,12,Takenaka,A Distortion-Cancelled Doherty High-Power Amplifier Using 28-V GaAs Heterojunction FETs for W-CDMA Base Stations,GaAs,,2.14,55.2,,,,,14,,,,49,42(DE),WCDMA,,GaAs HJFET
173,2006,4,Jeong,Compensation Method for a Nonlinear Amplifier Using the Gain Expansion Phenomenon in a Doherty Amplifier,GaAs,,2.14,,,,,,,,,,39,24,CDMA2000,,FLL351ME_GaAs_FET
174,2010,5,Hsia,Wideband High Efficiency Digitally-Assisted Envelope Amplifier with Dual Switching Stages for Radio Base-Station Envelope Tracking Power Amplifiers,GaAs,,2.14,,,,,,,,-29.9,,45.85,60.9,WCDMA (10Mhz),,GaAs HBT
175,2001,6,Barataud,Optimum Design of Very High-Efficiency Microwave Power Amplifiers Based on Time-Domain Harmonic Load–Pull Measurements,GaAs,,2.15,30.0,60,PAE,,,14,,,,,,,,GaAs_HBT
176,2019,12,Lee,Broadband InGaP/GaAs HBT Power Amplifier Integrated Circuit Using Cascode Structure and Optimized Shunt Inductor,InP/GaAs HBT,,2.2,30.8,48,PAE,,,28,,,,27.4,35,16QAM LTE(10MHz),,
177,2020,12,Öncü,An S-Band Solid-State Power Amplifier for Low Earth Orbit Satellite Telemetry Communications,GaAs,2.23,2.23,,,,38,43,10.31,,-27.85,,36.76,37.4,2 Mbps BPSK,Analog,GaAs
178,2008,8,Ji,Linearity Improved Doherty Power Amplifier Using Composite Right/Left-Handed Transmission Lines,GaAs,,2.3,31.0,32,PAE,,,,,,,,,,,GaAs
179,2004,6,Kunihiro,A Diplexer-matching Dual-band Power Amplifier LTCC Module for IEEE 802.1 1 a/b/g Wireless LANs,GaAs,,2.4,29.0,40,PAE,27,38,34,,-27.33,54Mbps,20,16,802.11a/g(OFDM_64QAM),,InGaP/GaAs
180,2004,6,Wang,Envelope Tracking Power Amplifier with Pre-Distortion Linearization for WLAN 802.1 1 g,GaAs,,2.4,,52,PAE,,,13,,-32.77,54Mbps,19.5,25,802.11g,,MWT-871 GaAs MESFET
181,2005,4,Wang,Design of Wide-Bandwidth Envelope-Tracking Power Amplifiers for OFDM Applications,GaAs,,2.4,23.0,52,PAE,,,13,,-32.77,54 Mbps,19.5,25,WLAN 802.11 g,,MWT-871_GaAs_MESFET
182,2007,6,Meliani,A 2.4 GHz GaAs-HBT Class-E MMIC Amplifier with 65% PAE,GaAs,,2.4,37.0,65,PAE,,,,,,,,,,,GaAs
183,2007,9,Huang,High Efficiency Linear Power Amplifier for IEEE 802.11g WLAN Applications,GaAs,,2.4,26.5,39.3,PAE,,,18.1,,,,,,,,InGaP/GaAs
184,2008,6,Seol,A 2.4-GHz HBT Power Amplifier Using an On-Chip Transformer as an Output Matching Network,GaAs,,2.4,,,,28.3,40.2,29.8,,,,,,,,InGaP/GaAs HBT
185,2017,8,Ershadi,Investigation of Integrated Smooth Transistor's Switching Transition Power Amplifier 2.4Ghz Realization of Class-Em,GaAs,,2.4,29.0,63,PAE,28,60,14,,,,,,,,GaAs pHEMT(250nm)
186,2020,3,Ekhteraei,High-Efficiency Low Voltage Inverse Class-F Power Amplifier Design Based on Harmonic Control Network Analysis,GaAs,,2.4,27.4,76,PAE,,,11.2,,,,,,,,pHEMT
187,2019,12,Lee,Broadband InGaP/GaAs HBT Power Amplifier Integrated Circuit Using Cascode Structure and Optimized Shunt Inductor,InP/GaAs HBT,,2.4,30.5,45,PAE,,,26,,,,27,34,16QAM LTE(10MHz),,
188,2021,6,Imai,A Bandwidth-Optimized Transformer-Based Doherty Power Amplifier for 5G Power Class 2 Handset operation at 2.2 GHz–2.7 GHz,GaAs,2.2-2.7,2.4,37.4,59,PAE,36.6,56,25,,,,30.5,35.5,100 MHz-bandwidth 5G signals,Analog,GaAs
189,2007,6,Hsu,Single-chip Dual-Mode Power Amplifier MMIC using GaAs E-pHEMT for WiMAX/WLAN Applications,GaAs,,2.45,,,,27,,21,,-32,54Mbps,19,,64QAM,,GaAs
190,2021,5,Wan,A High-Efficiency Two-Stage GaAs HBT Doherty Power Amplifier With Thermal Compensation for WLAN Application,GaAs,2.45,2.45,,,,,,29,,-42,,26,21,40 MHz 64-QAM signal,Analog,InGaP/GaAs HBT process
191,2007,2,Bahl,0.7–2.7-GHz 12-W Power-Amplifier MMIC Developed Using MLP Technology,GaAs,,2.5,41.5,25,PAE,41,25,20,,,,,,,,
192,2007,2,Bahl,0.7–2.7-GHz 12-W Power-Amplifier MMIC Developed Using MLP Technology,GaAs,,2.5,41.5,25,PAE,41,23,22,,,,,,,,GaAs_MESFET
193,2008,6,Fukuda,A novel reconfigurable quad-band power amplifier with reconfigurable biasing network and LTCC substrates,GaAs,,2.5,30.0,40,PAE,29,38,8.1,,,,,,,,
194,2008,6,Chow,"A variable supply, (2.3-2.7)GHz linear power amplifier module for IEEE 802.16e and LTE applications using E-mode pHEMT technology",GaAs,,2.5,,,,,,,,-26,,28,,OFDM ,,GaAs/AlGaAs pHEMT
195,2008,6,Ezzeddine,10W Ultra-Broadband Power Amplifier,GaAs,,2.5,40.0,,,36,23,20,,,,,,,,HIFET
196,2010,5,Alidio,A Novel Broadband Power Amplifier Architecture for High Efficiency and High Linearity Applications,GaAs,,2.5,26.0,,,,,11,,-30.45,54Mbps,19.6,25,64 QAM OFDM,,GaAs HBT
197,2010,12,Kang,Broradband HBT Doherty Power Amplifiers for Handset Applications,GaAs,,2.5,,,,,,21,,-30,,24.6,30.3,16 QAM (Wimax),Analog,2 um InGaP/GaAs HBT
198,2018,9,Balteanu,Linear Front End Module for 4G/5G LTE Advanced Applications,GaAs,,2.5,,,,,,,,,,29,41,LTE 20MHz,,
199,2021,10,Hu,Design of 35-dB 0.03-to-2.7 GHz Two-Stage Broadband Power Amplifier With 37.2 dBm Psat Using Modular Technology,GaAs,0.03-2.7,2.5,36.0,26.5,PAE,,,37,,,,,,,Analog,0.25 μm GaAs PHEMT
200,2011,6,Hassan,High Efficiency Envelope Tracking Power Amplifier with Very Low Quiescent Power for 20 MHz LTE,GaAs,,2.535,33.0,60,PAE,,,29,,,,30,45,LTE 20Mhz,,GaAs HBT
201,2009,6,Chen,High efficiency dual-mode RF transmitter using envelope-tracking dual-band Class-E power amplifier for W-CDMA/WiMAX systems,GaAs,,2.6,,,,,,,,,,21.6,43,WiMAX,,
