,Year,Month,Last Name (1st Author),Paper Title,"Process (CMOS_Bulk, CMOS_SOI, SiGe)",CW Performance,Frequency (GHz),Psat (dBm),PAEmax (%),PA Efficiency Note,P1dB (dBm),PAE_1dB (%),Gain (dB),RF PA Modulations,EVM (dB),Modulation Speed (Msym/s),Average Pout (dBm),Average PAE (%),RF PA Note (Modulation Type),RF PA Note (Analog PA or Digital PA),Process node
14,2000.0,2.0,Kumar,A 900 MHz SOI fully-integrated RF power amplifier for wireless transceivers,LDMOS,,0.9,23.0,49,,17.0,24,16,,,,,,,,1.5um LDMOS
15,2004.0,2.0,Shimizu,A small GSM power amplifier module using Si-LDMOS driver MMIC,LDMOS,,0.9,35.0,53,,,,,,,,,,,,Si-LDMOS
16,2006.0,6.0,Shih,RF LDMOS Power Amplifier Integrated Circuits for Cellular Wireless Base Station Applications,LDMOS,,0.9,,,,,,35,,,,44.77,58,GSM/EDGE,,
17,2007.0,6.0,Burns,"A 900 MHz, 500 W Doherty Power Amplifier Using Optimized Output Matched Si LDMOS Power Transistors",LDMOS,,0.9,,,,,,,,,,49.5,41,W-CDMA,,
18,2007.0,6.0,Pallotta,Quad-band GSM Silicon PA Module on LTCC embedding a Coupler-based RF Power Controller,LDMOS,,0.9,34.0,50,,,,,,,,,,,,0.35um CMOS
19,2012.0,4.0,Tombak,High-Efficiency Cellular Power Amplifiers Based on a Modified LDMOS Process on Bulk Silicon and Silicon-On-Insulator Substrates With Integrated Power Management Circuitry ,LDMOS,,0.9,,,,,,,,-29.0,,29,28,EDGE,,SOI LDMOS -  RF  HVCMOS
20,2016.0,6.0,Ferris,A 130-nm SOI CMOS reconfigurable multimode multiband power amplifier for 2G/3G/4G handset applications,LDMOS,,0.9,35.5,53,,,,,,,,30/29,39/37,3G/4G,,130nm SOI CMOS LDMOS
21,2004.0,1.0,Sahu,A high-efficiency linear RF power amplifier with a power-tracking dynamically adaptive buck-boost supply,LDMOS,,0.915,,,,,,,,-24.437,,27,25,CDMA IS-95,,
22,2009.0,6.0,Ho,"A 900 MHz, 200 W silicon LDMOS power amplifier using integrated passive devices in a new over-molded plastic package",LDMOS,,0.92,,,,53.22,62,18.4,,,,47.6,36,7.5dB PAR W-CDMA,,
23,2009.0,2.0,You,The Effects of Limited Drain Current and On Resistance on the Performance of an LDMOS Inverse Class-E Power Amplifier,LDMOS,,0.945,39.54,75 (DE),DE,39.0,70(DE),18,,,,,,,,"PCB, DC supply 20V"
24,2005.0,6.0,Lepine,L-band LDMOS power amplifiers based on an inverse class-F architecture,LDMOS,,1.0,40.93,77.8 (DE),DE,,,,,,,,,,,
25,2006.0,6.0,Ouyahia,A 71.9% power-added-efficiency inverse Class-FLDMOS,LDMOS,,1.0,41.2,71.9,,,,16,,,,,,,,
