,year,month,author_name,paper_title,process,CW Performance,frequency,Psat (dBm),PAEmax (%),PA Efficieny Note,P1dB (dBm),PAE_1dB (%),Gain (dB),RF PA Modulations,EVM (dB),Modulation Speed (Msym/s),Average Pout (dBm),Average PAE (%),RF PA Note (Modulation Type),PA_type,node
263,2022.0,7,Lee,Analysis and Demonstration of Mm-Wave Distributed Amplifiers With Modified Artificial Transmission Line Model,InP,6-261,250.0,,,,,,12.0,,,,,,,,250nm InP DHBT
264,2017.0,6,Griffith,"180-265 GHz, 17-24 dBm Output Power Broadband, High-Gain Power Amplifiers in InP HBT",InP,,265.0,16.5,1.6,PAE,,,,,,,,,,,
265,2017.0,6,Griffith,"180-265 GHz, 17-24 dBm Output Power Broadband, High-Gain Power Amplifiers in InP HBT",InP,,265.0,17.2,0.95,PAE,,,,,,,,,,,
266,2020.0,11,Hamada,"230–305 GHz, > 10-dBm-Output-Power Wideband Power Amplifier Using Low-Q Neutralization Technique in 60-nm InP-HEMT Technology",InP,230-305,265.0,11.7,,,,,,,,,,,,,60-nm InP-HEMT
267,2021.0,6,Ahmed,A compact H-band Power Amplifier with High Output Power,InP,233-281,266.0,16.6,3.9,PAE,,,,,,,,,,,250nm InP HBT
268,2021.0,6,Ahmed,A compact H-band Power Amplifier with High Output Power,InP,233-281,270.0,16.8,4.0,PAE,12.5,1.8,20.0,,,,,,,,250nm InP HBT
269,2021.0,6,Hamada,220–325-GHz 25-dB-Gain Differential Amplifier With High Common-Mode-Rejection Circuit in 60-nm InP-HEMT Technology,InP,220-325,270.0,5.9,,,,,25.0,,,,,,,,60nm InP HEMT
270,2020.0,11,Hamada,"230–305 GHz, > 10-dBm-Output-Power Wideband Power Amplifier Using Low-Q Neutralization Technique in 60-nm InP-HEMT Technology",InP,230-305,270.0,11.4,,,8.2,,11.0,,,,,,,,60-nm InP-HEMT
271,2021.0,6,Ahmed,A compact H-band Power Amplifier with High Output Power,InP,233-281,274.0,16.6,4.0,PAE,,,,,,,,,,,250nm InP HBT
272,2019.0,11,Hamada,300-GHz 120-Gb/s Wireless Transceiver with High-Output-Power and High-Gain Power Amplifier Based on 80-nm InP-HEMT Technology,InP,,278.0,10.2,0.61,PAE,,,20.0,,,,,,,,
273,2019.0,11,Hamada,300-GHz 120-Gb/s Wireless Transceiver with High-Output-Power and High-Gain Power Amplifier Based on 80-nm InP-HEMT Technology,InP,,280.0,10.5,0.61,PAE,,,20.0,,,,,,,,
274,2021.0,6,Ahmed,A compact H-band Power Amplifier with High Output Power,InP,233-281,280.0,15.8,3.5,PAE,,,,,,,,,,,250nm InP HBT
275,2019.0,11,Hamada,300-GHz 120-Gb/s Wireless Transceiver with High-Output-Power and High-Gain Power Amplifier Based on 80-nm InP-HEMT Technology,InP,,282.0,11.0,0.61,PAE,,,20.0,,,,,,,,
